stint_id,stint_number,compound,tyre_age_at_start,lap_start,lap_end,race_id,driver_id
89,6,MEDIUM,0.0,22,22,7763,24
90,5,TEST_UNKNOWN,5.0,22,26,7763,44
91,6,MEDIUM,0.0,22,26,7763,55
92,8,MEDIUM,4.0,22,26,7763,63
93,3,MEDIUM,0.0,22,28,7763,21
94,8,MEDIUM,0.0,23,23,7763,16
95,4,MEDIUM,0.0,23,23,7763,81
96,6,MEDIUM,0.0,23,28,7763,31
97,7,MEDIUM,0.0,23,29,7763,2
98,7,TEST_UNKNOWN,0.0,23,29,7763,24
99,9,UNKNOWN,0.0,24,27,7763,16
100,5,MEDIUM,0.0,24,28,7763,81
101,7,MEDIUM,0.0,24,30,7763,4
102,5,MEDIUM,0.0,24,30,7763,20
103,7,MEDIUM,0.0,25,29,7763,14
104,5,MEDIUM,0.0,25,35,7763,27
105,8,MEDIUM,0.0,26,28,7763,10
106,6,MEDIUM,0.0,27,29,7763,44
107,7,MEDIUM,0.0,27,40,7763,55
108,10,MEDIUM,0.0,28,43,7763,16
109,6,HARD,0.0,28,50,7763,22
110,6,MEDIUM,0.0,29,31,7763,81
111,7,MEDIUM,0.0,29,33,7763,31
112,4,MEDIUM,7.0,29,36,7763,21
113,9,MEDIUM,0.0,29,38,7763,10
114,8,TEST_UNKNOWN,0.0,30,30,7763,24
115,8,MEDIUM,0.0,30,34,7763,14
116,8,MEDIUM,7.0,30,36,7763,2
117,7,MEDIUM,0.0,30,37,7763,44
118,9,TEST_UNKNOWN,8.0,31,33,7763,24
119,6,MEDIUM,7.0,31,40,7763,20
120,8,MEDIUM,0.0,31,42,7763,4
121,7,MEDIUM,3.0,31,44,7763,1
122,7,MEDIUM,0.0,32,34,7763,81
123,8,MEDIUM,0.0,34,34,7763,11
124,10,MEDIUM,0.0,34,38,7763,24
125,8,TEST_UNKNOWN,0.0,34,38,7763,31
126,8,MEDIUM,0.0,35,35,7763,81
127,9,MEDIUM,5.0,35,50,7763,14
128,9,MEDIUM,0.0,35,52,7763,11
129,6,MEDIUM,7.0,36,38,7763,27
130,9,MEDIUM,4.0,36,50,7763,81
131,5,MEDIUM,0.0,37,42,7763,21
132,9,TEST_UNKNOWN,0.0,37,43,7763,2
133,8,MEDIUM,0.0,38,38,7763,44
134,11,MEDIUM,5.0,39,40,7763,24
135,9,MEDIUM,1.0,39,41,7763,44
136,9,HARD,0.0,39,46,7763,31
137,7,MEDIUM,7.0,39,48,7763,27
138,10,HARD,0.0,39,52,7763,10
139,12,MEDIUM,0.0,41,43,7763,24
140,7,HARD,0.0,41,52,7763,20
141,8,MEDIUM,0.0,41,54,7763,55
142,10,MEDIUM,4.0,42,49,7763,44
143,6,UNKNOWN,0.0,43,46,7763,21
144,9,MEDIUM,9.0,43,52,7763,4
145,10,TEST_UNKNOWN,0.0,44,50,7763,2
146,13,MEDIUM,0.0,44,50,7763,24
147,11,HARD,0.0,44,64,7763,16
148,8,MEDIUM,6.0,45,47,7763,1
149,7,MEDIUM,0.0,47,49,7763,21
150,10,HARD,8.0,47,49,7763,31
151,8,MEDIUM,7.0,49,65,7763,27
152,8,SOFT,0.0,50,52,7763,21
153,11,MEDIUM,0.0,50,52,7763,44
154,14,MEDIUM,0.0,51,51,7763,24
155,11,MEDIUM,0.0,51,55,7763,2
156,10,MEDIUM,0.0,51,62,7763,81
157,10,MEDIUM,5.0,51,64,7763,14
158,7,MEDIUM,0.0,51,68,7763,22
159,15,MEDIUM,0.0,52,58,7763,24
160,11,TEST_UNKNOWN,0.0,53,53,7763,10
161,9,SOFT,0.0,53,55,7763,21
162,10,MEDIUM,9.0,53,60,7763,4
163,12,MEDIUM,0.0,53,60,7763,44
164,8,HARD,0.0,53,64,7763,20
165,10,HARD,0.0,53,76,7763,11
166,12,MEDIUM,0.0,54,54,7763,10
167,13,TEST_UNKNOWN,7.0,55,55,7763,10
168,9,MEDIUM,5.0,55,66,7763,55
169,14,MEDIUM,0.0,56,56,7763,10
170,10,MEDIUM,6.0,56,56,7763,21
171,12,MEDIUM,0.0,56,58,7763,2
172,15,TEST_UNKNOWN,8.0,57,59,7763,10
173,11,MEDIUM,0.0,57,63,7763,21
174,16,MEDIUM,0.0,59,59,7763,24
175,13,SOFT,0.0,59,63,7763,2
176,17,MEDIUM,0.0,60,77,7763,24
177,11,MEDIUM,7.0,61,62,7763,4
178,13,MEDIUM,0.0,61,63,7763,44
179,12,MEDIUM,12.0,63,65,7763,4
180,11,HARD,0.0,63,70,7763,81
181,12,UNKNOWN,0.0,64,65,7763,21
182,14,SOFT,0.0,64,66,7763,2
183,14,MEDIUM,3.0,64,69,7763,44
184,12,MEDIUM,5.0,65,65,7763,16
185,11,MEDIUM,5.0,65,66,7763,14
186,9,HARD,0.0,65,67,7763,20
187,13,MEDIUM,0.0,66,67,7763,21
188,13,MEDIUM,0.0,66,68,7763,16
189,9,MEDIUM,23.0,66,68,7763,27
190,10,MEDIUM,15.0,67,67,7763,55
191,12,MEDIUM,7.0,67,68,7763,14
192,15,SOFT,0.0,67,69,7763,2
193,14,MEDIUM,15.0,68,69,7763,21
194,11,MEDIUM,16.0,68,70,7763,55
195,8,MEDIUM,0.0,69,71,7763,22
196,13,MEDIUM,0.0,69,80,7763,14
197,16,SOFT,5.0,70,71,7763,2
198,15,MEDIUM,16.0,70,71,7763,21
199,15,MEDIUM,9.0,70,72,7763,44
200,12,MEDIUM,9.0,71,71,7763,81
201,17,SOFT,0.0,72,74,7763,2
202,16,MEDIUM,0.0,72,74,7763,21
203,13,MEDIUM,9.0,72,74,7763,81
204,9,MEDIUM,3.0,72,76,7763,22
205,18,MEDIUM,8.0,75,75,7763,2
206,19,MEDIUM,0.0,76,84,7763,2
207,10,MEDIUM,0.0,77,85,7763,22
208,18,MEDIUM,0.0,78,93,7763,24
209,14,MEDIUM,0.0,81,95,7763,14
210,20,MEDIUM,0.0,85,85,7763,2
211,21,MEDIUM,0.0,86,86,7763,2
212,22,MEDIUM,1.0,87,105,7763,2
213,19,HARD,0.0,94,113,7763,24
214,15,MEDIUM,1.0,96,110,7763,14
215,23,HARD,0.0,106,125,7763,2
216,16,HARD,0.0,111,113,7763,14
217,20,MEDIUM,20.0,114,116,7763,24
218,17,MEDIUM,0.0,114,118,7763,14
219,21,MEDIUM,0.0,117,119,7763,24
220,18,MEDIUM,0.0,119,123,7763,14
221,22,MEDIUM,0.0,120,122,7763,24
222,23,SOFT,0.0,123,125,7763,24
223,19,MEDIUM,0.0,124,128,7763,14
224,24,SOFT,0.0,126,128,7763,24
225,24,MEDIUM,0.0,126,144,7763,2
226,25,MEDIUM,0.0,129,129,7763,24
227,20,MEDIUM,5.0,129,130,7763,14
228,26,SOFT,0.0,130,130,7763,24
229,27,SOFT,3.0,131,131,7763,24
230,28,MEDIUM,14.0,132,132,7763,24
231,25,MEDIUM,0.0,145,154,7763,2
232,1,MEDIUM,6.0,1,1,7764,10
233,1,SOFT,3.0,1,2,7764,21
234,1,SOFT,3.0,1,2,7764,23
235,1,MEDIUM,0.0,1,2,7764,27
236,1,MEDIUM,12.0,1,2,7764,55
237,1,MEDIUM,8.0,1,2,7764,77
238,1,MEDIUM,0.0,1,3,7764,11
239,1,UNKNOWN,0.0,1,3,7764,31
240,1,MEDIUM,0.0,1,3,7764,63
241,1,MEDIUM,7.0,1,4,7764,4
242,1,MEDIUM,9.0,1,4,7764,16
243,1,MEDIUM,0.0,1,4,7764,34
244,1,MEDIUM,5.0,1,4,7764,81
245,1,MEDIUM,0.0,1,5,7764,14
246,1,MEDIUM,0.0,1,7,7764,20
247,1,MEDIUM,5.0,1,10,7764,44
248,1,MEDIUM,0.0,1,11,7764,22
249,2,MEDIUM,7.0,2,2,7764,10
250,2,SOFT,5.0,3,3,7764,23
251,2,SOFT,5.0,3,5,7764,21
252,3,MEDIUM,3.0,3,7,7764,10
253,2,MEDIUM,8.0,3,7,7764,55
254,2,MEDIUM,1.0,3,8,7764,27
255,2,MEDIUM,0.0,3,14,7764,77
256,2,MEDIUM,3.0,4,4,7764,11
257,3,SOFT,0.0,4,4,7764,23
258,2,MEDIUM,2.0,4,7,7764,63
259,2,UNKNOWN,0.0,4,8,7764,31
260,4,SOFT,0.0,5,6,7764,23
261,3,MEDIUM,0.0,5,7,7764,11
262,2,MEDIUM,5.0,5,7,7764,34
263,2,MEDIUM,0.0,5,8,7764,81
264,2,MEDIUM,0.0,5,9,7764,16
265,2,MEDIUM,0.0,5,13,7764,4
266,2,MEDIUM,0.0,6,10,7764,14
267,3,MEDIUM,4.0,6,15,7764,21
268,5,SOFT,9.0,7,7,7764,23
269,6,SOFT,10.0,8,8,7764,23
270,3,MEDIUM,8.0,8,8,7764,34
271,3,MEDIUM,13.0,8,10,7764,55
272,3,MEDIUM,0.0,8,10,7764,63
273,4,MEDIUM,0.0,8,12,7764,10
274,4,MEDIUM,0.0,8,13,7764,11
275,2,MEDIUM,0.0,8,14,7764,20
276,7,SOFT,11.0,9,10,7764,23
277,4,MEDIUM,7.0,9,11,7764,34
278,3,MEDIUM,0.0,9,13,7764,27
279,3,MEDIUM,0.0,9,13,7764,31
280,3,MEDIUM,0.0,9,13,7764,81
281,3,MEDIUM,0.0,10,14,7764,16
282,8,SOFT,0.0,11,12,7764,23
283,4,MEDIUM,3.0,11,12,7764,63
284,3,MEDIUM,0.0,11,13,7764,14
285,4,MEDIUM,0.0,11,13,7764,55
286,2,MEDIUM,0.0,11,23,7764,44
287,5,TEST_UNKNOWN,0.0,12,16,7764,34
288,2,MEDIUM,0.0,12,22,7764,22
289,9,SOFT,0.0,13,13,7764,23
290,5,SOFT,0.0,13,15,7764,63
291,5,MEDIUM,0.0,13,17,7764,10
292,4,MEDIUM,0.0,14,16,7764,14
293,10,SOFT,16.0,14,16,7764,23
294,5,MEDIUM,3.0,14,16,7764,55
295,3,MEDIUM,0.0,14,17,7764,4
296,4,MEDIUM,0.0,14,20,7764,31
297,5,MEDIUM,0.0,14,21,7764,11
298,4,MEDIUM,0.0,14,24,7764,27
299,4,MEDIUM,0.0,14,25,7764,81
300,3,MEDIUM,12.0,15,15,7764,77
301,4,SOFT,0.0,15,17,7764,16
302,3,MEDIUM,5.0,15,30,7764,20
303,4,MEDIUM,0.0,16,16,7764,21
304,4,MEDIUM,10.0,16,16,7764,77
305,6,SOFT,0.0,16,18,7764,63
306,11,SOFT,19.0,17,17,7764,23
307,5,HARD,0.0,17,17,7764,77
308,5,SOFT,0.0,17,19,7764,14
309,6,MEDIUM,0.0,17,19,7764,55
310,6,TEST_UNKNOWN,0.0,17,21,7764,34
311,5,MEDIUM,1.0,17,33,7764,21
312,6,HARD,0.0,18,18,7764,77
313,4,MEDIUM,0.0,18,20,7764,4
314,5,SOFT,0.0,18,22,7764,16
315,6,MEDIUM,0.0,18,23,7764,10
316,12,MEDIUM,0.0,18,24,7764,23
317,7,SOFT,0.0,19,21,7764,63
318,7,HARD,0.0,19,40,7764,77
319,7,MEDIUM,3.0,20,21,7764,55
320,6,MEDIUM,0.0,20,35,7764,14
321,5,MEDIUM,0.0,21,27,7764,31
322,5,MEDIUM,3.0,21,29,7764,4
323,8,MEDIUM,5.0,22,22,7764,63
324,6,MEDIUM,0.0,22,24,7764,11
325,7,SOFT,0.0,22,24,7764,34
326,8,SOFT,0.0,22,24,7764,55
327,6,SOFT,0.0,23,25,7764,16
328,3,MEDIUM,0.0,23,33,7764,22
329,9,MEDIUM,6.0,23,37,7764,63
330,3,MEDIUM,0.0,24,26,7764,44
331,7,MEDIUM,0.0,24,32,7764,10
332,13,UNKNOWN,0.0,25,25,7764,23
333,7,MEDIUM,0.0,25,27,7764,11
334,8,SOFT,0.0,25,27,7764,34
335,9,SOFT,0.0,25,27,7764,55
336,5,MEDIUM,0.0,25,35,7764,27
337,14,MEDIUM,0.0,26,31,7764,23
338,5,MEDIUM,0.0,26,31,7764,81
339,7,MEDIUM,3.0,26,38,7764,16
340,4,MEDIUM,3.0,27,28,7764,44
341,9,MEDIUM,0.0,28,28,7764,34
342,6,MEDIUM,0.0,28,30,7764,31
343,10,SOFT,0.0,28,30,7764,55
344,8,MEDIUM,6.0,28,35,7764,11
345,5,MEDIUM,0.0,29,31,7764,44
346,10,MEDIUM,0.0,29,45,7764,34
347,6,HARD,0.0,30,34,7764,4
348,11,MEDIUM,0.0,31,31,7764,55
349,7,MEDIUM,3.0,31,33,7764,31
350,4,MEDIUM,0.0,31,47,7764,20
351,15,MEDIUM,0.0,32,32,7764,23
352,6,MEDIUM,3.0,32,34,7764,44
353,6,HARD,0.0,32,40,7764,81
354,12,MEDIUM,1.0,32,49,7764,55
355,16,TEST_UNKNOWN,0.0,33,35,7764,23
356,8,MEDIUM,5.0,33,40,7764,10
357,8,MEDIUM,0.0,34,39,7764,31
358,4,MEDIUM,0.0,34,44,7764,22
359,6,HARD,0.0,34,55,7764,21
360,7,HARD,5.0,35,37,7764,4
361,7,MEDIUM,0.0,35,39,7764,44
362,17,TEST_UNKNOWN,0.0,36,38,7764,23
363,9,MEDIUM,0.0,36,40,7764,11
364,6,MEDIUM,8.0,36,46,7764,27
365,7,HARD,0.0,36,56,7764,14
366,10,MEDIUM,0.0,38,56,7764,63
367,18,MEDIUM,0.0,39,41,7764,23
368,8,MEDIUM,4.0,39,42,7764,16
369,9,HARD,0.0,40,40,7764,31
370,8,SOFT,0.0,40,43,7764,44
371,7,HARD,9.0,41,41,7764,81
372,10,MEDIUM,0.0,41,48,7764,11
373,9,MEDIUM,6.0,41,49,7764,10
374,8,MEDIUM,0.0,41,59,7764,77
375,10,HARD,1.0,41,63,7764,31
376,19,MEDIUM,3.0,42,44,7764,23
377,8,HARD,10.0,42,44,7764,81
378,9,MEDIUM,4.0,43,56,7764,16
379,9,SOFT,0.0,44,46,7764,44
380,20,SOFT,0.0,45,47,7764,23
381,5,MEDIUM,0.0,45,50,7764,22
382,11,HARD,3.0,46,60,7764,34
383,10,SOFT,0.0,47,49,7764,44
384,7,MEDIUM,0.0,47,62,7764,27
385,21,SOFT,0.0,48,50,7764,23
386,5,HARD,0.0,48,72,7764,20
387,11,MEDIUM,0.0,49,49,7764,11
388,12,MEDIUM,1.0,50,52,7764,11
389,10,MEDIUM,0.0,50,56,7764,10
390,13,MEDIUM,0.0,50,57,7764,55
391,11,MEDIUM,6.0,50,59,7764,44
392,6,MEDIUM,0.0,51,53,7764,22
393,22,SOFT,0.0,51,53,7764,23
394,13,MEDIUM,4.0,53,58,7764,11
395,23,MEDIUM,6.0,54,54,7764,23
396,7,SOFT,0.0,54,56,7764,22
397,24,MEDIUM,0.0,55,63,7764,23
398,7,MEDIUM,0.0,56,70,7764,21
399,11,MEDIUM,0.0,57,58,7764,10
400,8,SOFT,0.0,57,59,7764,22
401,10,SOFT,3.0,57,67,7764,16
402,11,HARD,0.0,57,71,7764,63
403,8,MEDIUM,0.0,57,77,7764,14
404,14,HARD,0.0,58,66,7764,55
405,14,MEDIUM,0.0,59,61,7764,11
406,12,MEDIUM,5.0,60,60,7764,44
407,9,MEDIUM,6.0,60,61,7764,22
408,9,MEDIUM,0.0,60,72,7764,77
409,13,MEDIUM,16.0,61,61,7764,44
410,12,MEDIUM,0.0,61,77,7764,34
411,10,MEDIUM,3.0,62,62,7764,22
412,14,MEDIUM,6.0,62,62,7764,44
413,15,MEDIUM,3.0,62,67,7764,11
414,11,SOFT,3.0,63,64,7764,22
415,15,MEDIUM,7.0,63,65,7764,44
416,8,HARD,0.0,63,77,7764,27
417,25,UNKNOWN,0.0,64,64,7764,23
418,11,HARD,0.0,64,64,7764,31
419,12,MEDIUM,0.0,65,65,7764,31
420,12,SOFT,3.0,65,66,7764,22
421,26,MEDIUM,0.0,65,83,7764,23
422,13,HARD,1.0,66,66,7764,31
423,14,MEDIUM,1.0,67,67,7764,31
424,13,SOFT,5.0,67,69,7764,22
425,15,MEDIUM,5.0,67,75,7764,55
426,15,HARD,0.0,68,68,7764,31
427,16,MEDIUM,13.0,68,69,7764,11
428,16,MEDIUM,2.0,69,69,7764,31
429,14,MEDIUM,8.0,70,70,7764,22
430,17,HARD,3.0,70,70,7764,31
431,17,MEDIUM,0.0,70,72,7764,11
432,15,SOFT,0.0,71,71,7764,22
433,18,MEDIUM,3.0,71,72,7764,31
434,8,MEDIUM,3.0,71,84,7764,21
435,16,SOFT,4.0,72,74,7764,22
436,12,MEDIUM,0.0,72,78,7764,63
437,18,MEDIUM,3.0,73,75,7764,11
438,19,MEDIUM,0.0,73,75,7764,31
439,6,MEDIUM,0.0,73,77,7764,20
440,10,MEDIUM,0.0,73,82,7764,77
441,17,MEDIUM,4.0,75,75,7764,22
442,18,SOFT,8.0,76,76,7764,22
443,16,MEDIUM,6.0,76,76,7764,55
444,19,MEDIUM,0.0,76,78,7764,11
445,19,SOFT,9.0,77,79,7764,22
446,9,MEDIUM,3.0,78,80,7764,14
447,7,SOFT,0.0,78,80,7764,20
448,13,MEDIUM,7.0,79,80,7764,63
449,20,MEDIUM,0.0,79,81,7764,11
450,8,SOFT,0.0,81,83,7764,20
451,14,MEDIUM,0.0,81,83,7764,63
452,21,MEDIUM,3.0,82,93,7764,11
453,11,MEDIUM,10.0,83,83,7764,77
454,9,SOFT,3.0,84,84,7764,20
455,12,MEDIUM,0.0,84,92,7764,77
456,27,MEDIUM,0.0,84,102,7764,23
457,10,SOFT,3.0,85,85,7764,20
458,9,SOFT,0.0,85,86,7764,21
459,11,MEDIUM,7.0,86,86,7764,20
460,12,MEDIUM,8.0,87,87,7764,20
461,10,SOFT,0.0,87,87,7764,21
462,13,MEDIUM,0.0,88,88,7764,20
463,14,MEDIUM,7.0,89,89,7764,20
464,15,MEDIUM,7.0,90,90,7764,20
465,16,MEDIUM,8.0,91,91,7764,20
466,17,SOFT,4.0,92,92,7764,20
467,18,MEDIUM,19.0,93,93,7764,20
468,13,MEDIUM,0.0,93,93,7764,77
469,19,SOFT,5.0,94,94,7764,20
470,14,MEDIUM,3.0,94,98,7764,77
471,22,MEDIUM,0.0,94,105,7764,11
472,20,SOFT,5.0,95,95,7764,20
473,15,MEDIUM,8.0,99,99,7764,77
474,16,MEDIUM,3.0,100,102,7764,77
475,17,MEDIUM,6.0,103,103,7764,77
476,28,MEDIUM,0.0,103,122,7764,23
477,18,TEST_UNKNOWN,0.0,104,108,7764,77
478,23,SOFT,0.0,106,111,7764,11
479,19,SOFT,0.0,109,111,7764,77
480,20,SOFT,0.0,112,114,7764,77
481,24,SOFT,0.0,112,117,7764,11
482,21,SOFT,0.0,115,117,7764,77
483,22,SOFT,0.0,118,120,7764,77
484,25,SOFT,0.0,118,122,7764,11
485,23,SOFT,0.0,121,123,7764,77
486,26,SOFT,0.0,123,125,7764,11
487,29,MEDIUM,0.0,123,132,7764,23
488,24,SOFT,3.0,124,124,7764,77
489,25,MEDIUM,8.0,125,126,7764,77
490,27,MEDIUM,6.0,126,126,7764,11
491,28,MEDIUM,0.0,127,127,7764,11
492,26,SOFT,3.0,127,127,7764,77
493,29,SOFT,6.0,128,128,7764,11
494,27,SOFT,0.0,128,128,7764,77
495,30,MEDIUM,7.0,129,129,7764,11
496,28,MEDIUM,10.0,129,131,7764,77
497,31,MEDIUM,1.0,130,130,7764,11
498,32,SOFT,5.0,131,133,7764,11
499,30,SOFT,0.0,133,133,7764,23
500,31,TEST_UNKNOWN,6.0,134,134,7764,23
501,32,SOFT,4.0,135,135,7764,23
502,33,TEST_UNKNOWN,5.0,136,136,7764,23
503,1,TEST_UNKNOWN,0.0,1,1,9222,27
504,1,MEDIUM,0.0,1,1,9222,34
505,1,HARD,0.0,1,1,9222,81
506,1,SOFT,5.0,1,2,9222,2
507,1,HARD,0.0,1,2,9222,10
508,1,MEDIUM,5.0,1,2,9222,14
509,1,SOFT,0.0,1,2,9222,23
510,1,MEDIUM,0.0,1,2,9222,24
511,1,MEDIUM,0.0,1,3,9222,1
512,1,SOFT,0.0,1,3,9222,22
513,1,MEDIUM,16.0,1,3,9222,44
514,1,MEDIUM,5.0,1,4,9222,4
515,1,HARD,7.0,1,4,9222,31
516,1,MEDIUM,0.0,1,4,9222,55
517,1,MEDIUM,8.0,1,5,9222,16
518,1,MEDIUM,0.0,1,6,9222,21
519,1,HARD,0.0,1,6,9222,63
520,1,MEDIUM,0.0,1,7,9222,20
521,1,MEDIUM,8.0,1,9,9222,77
522,2,UNKNOWN,0.0,2,2,9222,34
523,2,HARD,1.0,2,2,9222,81
524,2,TEST_UNKNOWN,1.0,2,8,9222,27
525,2,SOFT,12.0,3,3,9222,2
526,3,MEDIUM,0.0,3,3,9222,34
527,3,HARD,2.0,3,3,9222,81
528,2,SOFT,2.0,3,4,9222,23
529,2,MEDIUM,2.0,3,4,9222,24
530,2,MEDIUM,0.0,3,7,9222,14
531,2,MEDIUM,0.0,3,12,9222,10
532,3,SOFT,0.0,4,4,9222,2
533,2,SOFT,3.0,4,4,9222,22
534,4,HARD,3.0,4,4,9222,81
535,4,MEDIUM,2.0,4,7,9222,34
536,2,MEDIUM,0.0,4,8,9222,44
537,2,MEDIUM,3.0,4,9,9222,1
538,4,SOFT,14.0,5,5,9222,2
539,2,MEDIUM,9.0,5,5,9222,4
540,5,HARD,4.0,5,5,9222,81
541,3,UNKNOWN,0.0,5,6,9222,23
542,3,MEDIUM,0.0,5,7,9222,24
543,2,HARD,11.0,5,7,9222,31
544,2,MEDIUM,4.0,5,8,9222,55
545,3,SOFT,4.0,5,9,9222,22
546,6,HARD,5.0,6,6,9222,81
547,2,TEST_UNKNOWN,0.0,6,8,9222,16
548,5,MEDIUM,15.0,6,10,9222,2
549,3,HARD,0.0,6,15,9222,4
550,4,SOFT,0.0,7,8,9222,23
551,7,HARD,0.0,7,8,9222,81
552,2,MEDIUM,0.0,7,9,9222,21
553,2,HARD,6.0,7,11,9222,63
554,3,HARD,14.0,8,8,9222,31
555,5,MEDIUM,1.0,8,11,9222,34
556,3,UNKNOWN,0.0,8,12,9222,14
557,4,MEDIUM,3.0,8,12,9222,24
558,2,MEDIUM,0.0,8,14,9222,20
559,5,SOFT,0.0,9,9,9222,23
560,8,HARD,8.0,9,10,9222,81
561,3,MEDIUM,0.0,9,11,9222,44
562,3,TEST_UNKNOWN,0.0,9,11,9222,55
563,4,HARD,15.0,9,12,9222,31
564,3,TEST_UNKNOWN,0.0,9,13,9222,27
565,3,TEST_UNKNOWN,3.0,9,17,9222,16
566,6,SOFT,9.0,10,10,9222,23
567,2,MEDIUM,17.0,10,10,9222,77
568,4,SOFT,9.0,10,12,9222,22
569,3,MEDIUM,0.0,10,18,9222,1
570,3,MEDIUM,3.0,10,18,9222,21
571,7,SOFT,0.0,11,15,9222,23
572,9,HARD,10.0,11,15,9222,81
573,6,MEDIUM,0.0,11,17,9222,2
574,3,MEDIUM,0.0,11,20,9222,77
575,4,MEDIUM,0.0,12,14,9222,44
576,6,MEDIUM,6.0,12,16,9222,34
577,3,HARD,11.0,12,16,9222,63
578,4,TEST_UNKNOWN,3.0,12,19,9222,55
579,3,MEDIUM,0.0,13,13,9222,10
580,5,MEDIUM,8.0,13,13,9222,24
581,5,SOFT,12.0,13,15,9222,22
582,5,HARD,19.0,13,15,9222,31
583,4,MEDIUM,5.0,13,28,9222,14
584,4,TEST_UNKNOWN,5.0,14,16,9222,27
585,6,MEDIUM,0.0,14,20,9222,24
586,4,MEDIUM,0.0,14,21,9222,10
